Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2010,699,2,156,"H3","010619",1,,2,109,4
2010,699,1,156,"H3","010690",5,514,,453360,0
2010,699,2,156,"H3","02",1,,,68010,0
2010,699,2,156,"H3","0202",8,19911,19911,68010,6
2010,699,2,156,"H3","03",1,,,245867739,0
2010,699,1,156,"H3","03",1,,,397798,0
2010,699,2,156,"H3","0301",1,,,7988,0
2010,699,2,156,"H3","030110",1,,,7841,0
2010,699,2,156,"H3","0302",1,,,905639,0
2010,699,2,156,"H3","030229",8,494,494,3948,6
2010,699,2,156,"H3","030266",1,,,119450,0
2010,699,2,156,"H3","030269",8,11501,11501,60384,6
2010,699,2,156,"H3","030319",8,237308,237308,680859,6
2010,699,2,156,"H3","030329",8,111839,111839,205285,6
2010,699,2,156,"H3","030331",8,6734,6734,33714,6
2010,699,2,156,"H3","030339",8,409727,409727,823147,6
2010,699,2,156,"H3","030342",8,30516,30516,49387,6
2010,699,2,156,"H3","030352",1,,,658876,0
2010,699,2,156,"H3","030361",8,22210,22210,102723,6
2010,699,2,156,"H3","030362",8,11741,11741,139963,6
2010,699,2,156,"H3","030373",8,53680,53680,92108,6
2010,699,2,156,"H3","030378",1,,,43379,0
2010,699,2,156,"H3","0304",1,,3692916,14904620,4
2010,699,1,156,"H3","0304",1,,84295,156394,0
2010,699,2,156,"H3","030429",8,3692916,3692916,14904620,6
2010,699,1,156,"H3","030499",8,84295,84295,156394,0
2010,699,2,156,"H3","030559",8,68861,68861,439150,6
2010,699,2,156,"H3","0306",8,2432697,2432697,16344267,6
2010,699,1,156,"H3","0306",8,16500,16500,95640,0
2010,699,2,156,"H3","030611",8,3868,3868,82819,6
2010,699,2,156,"H3","030612",8,10931,10931,170111,6
2010,699,2,156,"H3","030614",8,5461,5461,43642,6
2010,699,2,156,"H3","030624",8,368195,368195,2163400,6
2010,699,2,156,"H3","030739",8,3358,3358,12198,6
2010,699,2,156,"H3","030741",8,3028677,3028677,10695425,6
2010,699,1,156,"H3","030741",8,27000,27000,111629,0
2010,699,2,156,"H3","030749",8,4070613,4070613,11250132,6
2010,699,2,156,"H3","030759",8,20193,20193,102229,6
2010,699,2,156,"H3","04",1,,,1459499,0
2010,699,1,156,"H3","04",1,,,3816161,0
2010,699,2,156,"H3","040410",8,1509394,1509394,1454019,6
2010,699,1,156,"H3","040410",8,48100,48100,179646,0
2010,699,2,156,"H3","040510",8,896,896,2930,6
2010,699,2,156,"H3","0406",8,661,661,2513,6
2010,699,2,156,"H3","0501",1,,,25689649,0
2010,699,1,156,"H3","0501",1,,17234,2583521,0
2010,699,1,156,"H3","050210",8,180985,180985,2330711,0
2010,699,1,156,"H3","050290",8,57643,57643,1192179,0
2010,699,1,156,"H3","0505",8,3682,3682,18766,0
2010,699,1,156,"H3","050510",8,3350,3350,16533,0
2010,699,1,156,"H3","050590",8,332,332,2233,0
2010,699,2,156,"H3","050610",1,,,47,0
2010,699,2,156,"H3","050790",1,,,151295,0
2010,699,1,156,"H3","050800",8,147735,147735,120473,0
2010,699,2,156,"H3","050800",1,,,374114,0
2010,699,1,156,"H3","0602",1,,330048,855071,0
2010,699,2,156,"H3","0602",1,,,8997,0
2010,699,1,156,"H3","060290",8,330048,330048,855071,0
2010,699,2,156,"H3","060290",1,,,8997,0
2010,699,1,156,"H3","0603",1,,8122,14947,0
2010,699,2,156,"H3","0603",1,,,8073,0
2010,699,1,156,"H3","0604",8,19945,19945,52331,0
2010,699,2,156,"H3","0604",8,9249,9249,36626,6
2010,699,1,156,"H3","060499",8,19945,19945,52331,0
2010,699,2,156,"H3","060499",8,9249,9249,36626,6
2010,699,1,156,"H3","07",1,,,73371685,0
2010,699,2,156,"H3","07",1,,,414879,0
2010,699,2,156,"H3","0701",8,11589,11589,4436,6
2010,699,2,156,"H3","070190",8,11589,11589,4436,6
2010,699,1,156,"H3","0703",8,5000,5000,9588,0
2010,699,2,156,"H3","0703",8,21809,21809,8177,6
2010,699,2,156,"H3","070310",8,21809,21809,8177,6
2010,699,1,156,"H3","0706",8,5000,5000,15165,0
2010,699,1,156,"H3","070690",8,5000,5000,15165,0
2010,699,1,156,"H3","070951",8,16840,16840,47278,0
2010,699,2,156,"H3","070990",8,1604,1604,2328,6
2010,699,1,156,"H3","0710",8,68700,68700,75433,0
2010,699,1,156,"H3","071040",8,2000,2000,12310,0
2010,699,1,156,"H3","0711",8,209454,209454,453484,0
2010,699,2,156,"H3","0711",8,55759,55759,44414,6
2010,699,2,156,"H3","071140",8,48909,48909,33220,6
2010,699,1,156,"H3","071159",8,164011,164011,328455,0
2010,699,1,156,"H3","071220",8,1000,1000,9748,0
2010,699,2,156,"H3","071220",8,24518,24518,74195,6
2010,699,1,156,"H3","071290",8,423197,423197,865924,0
2010,699,1,156,"H3","0713",8,87985395,87985395,71830915,0
2010,699,2,156,"H3","0713",8,81977,81977,69569,6
2010,699,1,156,"H3","071310",8,24839,24839,9646,0
2010,699,2,156,"H3","071320",8,78033,78033,64776,6
2010,699,1,156,"H3","071331",8,10018132,10018132,13654739,0
2010,699,1,156,"H3","071339",8,2719528,2719528,2498666,0
2010,699,1,156,"H3","0801",1,,287000,346407,0
2010,699,2,156,"H3","0801",1,,20888,103686,4
2010,699,2,156,"H3","080111",8,3,3,4,6
2010,699,1,156,"H3","080131",8,262000,262000,330939,0
2010,699,1,156,"H3","080132",8,25000,25000,15469,0
2010,699,2,156,"H3","080132",8,20885,20885,103683,6
2010,699,1,156,"H3","080250",8,47870,47870,298109,0
2010,699,2,156,"H3","080290",1,,,6147,0
2010,699,2,156,"H3","0803",8,1499,1499,646,6
2010,699,2,156,"H3","080300",8,1499,1499,646,6
2010,699,1,156,"H3","0804",8,720600,720600,247280,0
2010,699,2,156,"H3","0804",8,1395152,1395152,1743939,6
2010,699,1,156,"H3","080430",8,300,300,695,0
2010,699,1,156,"H3","080450",8,300,300,1158,0
